source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude_deg,source_latitude_uncertainty_km,source_longitude_deg,source_longitude_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_uncertainty,source_magnitude_type,source_magnitude_author,sensor_name,sensor_orientation_azi_dip,sensor_sensitivity,source_sensor_distance,trace_start_time,trace_end_time,trace_num_samples,trace_sample_min_1,trace_sample_max_1,trace_sample_mean_1,trace_sample_median_1,trace_sample_rms_1,trace_sample_lower_quartile_1,trace_sample_upper_quartile_1,trace_sample_stdev_1,trace_name_original_1,trace_sample_min_2,trace_sample_max_2,trace_sample_mean_2,trace_sample_median_2,trace_sample_rms_2,trace_sample_lower_quartile_2,trace_sample_upper_quartile_2,trace_sample_stdev_2,trace_name_original_2,trace_name_original_Z,trace_sample_min_Z,trace_sample_max_Z,trace_sample_mean_Z,trace_sample_median_Z,trace_sample_rms_Z,trace_sample_lower_quartile_Z,trace_sample_upper_quartile_Z,trace_sample_stdev_Z,trace_p_pick_time,trace_p_pick_uncertainty,trace_s_pick_time,trace_s_pick_uncertainty,trace_sampling_rate_hz,trace_component_order,trace_p_pick_weight,trace_s_pick_weight,trace_name
34166831,2023-02-21T12:48:54.240000Z,0.1,43.2767,0.0045,13.3703,0.0074,6.1,0.6,1,0.2,ML,INGV,S2,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,3.632206219,2023-02-21T12:48:34.239517Z,2023-02-21T12:50:14.243517Z,3x25001,-1038.884076,980.3474425,-2.019983509,-2.225574554,102.4190387,-53.30599096,48.85675226,102.399117,34166831_2023-02-21T12:48:34.239517Z_WS.POZA.S2.DN1.MSEED,-231.2820741,229.4551436,-0.670436013,-0.913465291,41.74756257,-27.95668485,27.13128424,41.74217886,34166831_2023-02-21T12:48:34.239517Z_WS.POZA.S2.DN2.MSEED,34166831_2023-02-21T12:48:34.239517Z_WS.POZA.S2.DNZ.MSEED,-252.5435109,319.3554141,-0.728697121,-0.156048382,37.71081079,-25.18999919,23.89977492,37.70376972,,,,,250,12Z,,,"bucket0$9,:3,:25001"
34163931,2023-02-21T06:39:17.060000Z,0.19,43.3347,0.0072,13.3462,0.0185,21.9,1.4,1,0.2,ML,INGV,S2,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,10.2616247,2023-02-21T06:38:57.058640Z,2023-02-21T06:40:37.062640Z,3x25001,-918.8482979,865.0050511,-2.757944755,-3.383042338,111.1746465,-55.46642152,50.70244158,111.1404326,34163931_2023-02-21T06:38:57.058640Z_WS.POZA.S2.DN1.MSEED,-216.6180037,213.0693969,-0.066633068,-0.271769655,37.06940081,-23.30863054,23.7666212,37.06934092,34163931_2023-02-21T06:38:57.058640Z_WS.POZA.S2.DN2.MSEED,34163931_2023-02-21T06:38:57.058640Z_WS.POZA.S2.DNZ.MSEED,-227.6502547,196.031787,0.133776086,-0.266176479,35.88954261,-23.31330579,23.75908034,35.88929329,,,,,250,12Z,,,"bucket0$27,:3,:25001"
34161791,2023-02-21T00:40:43.070000Z,0.18,43.2822,0.0153,13.3168,0.0136,9,1.5,1,0.4,ML,INGV,S2,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,7.329968016,2023-02-21T00:40:23.070032Z,2023-02-21T00:42:03.074032Z,3x25001,-199.5420165,208.1117248,-0.180797416,-0.221791928,47.70156166,-32.27457174,31.82907748,47.70121903,34161791_2023-02-21T00:40:23.070032Z_WS.POZA.S2.DN1.MSEED,-128.9810881,143.4548839,0.204752884,0.225591114,30.82389426,-19.80644106,20.25786209,30.8232142,34161791_2023-02-21T00:40:23.070032Z_WS.POZA.S2.DN2.MSEED,34161791_2023-02-21T00:40:23.070032Z_WS.POZA.S2.DNZ.MSEED,-129.9019424,124.5029081,0.414033391,0.280715054,31.20376531,-20.74902628,21.34102287,31.20101835,2023-02-21T00:40:44.556000Z,0.5,2023-02-21T00:40:46.108000Z,0.5,250,12Z,3,2,"bucket0$29,:3,:25001"
34168371,2023-02-21T16:49:17.010000Z,0.13,43.2928,0.0063,13.3492,0.0111,8.7,0.7,1,0.2,ML,INGV,S2,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.086984581,2023-02-21T16:48:57.010736Z,2023-02-21T16:50:37.014736Z,3x25001,-946.7301155,784.038802,1.021772977,1.78706184,105.1207413,-55.30348959,57.8765609,105.1157754,34168371_2023-02-21T16:48:57.010736Z_WS.POZA.S2.DN1.MSEED,-222.5808011,219.1261531,0.23702068,0.77662032,42.42862138,-28.26989798,27.81983988,42.42795934,34168371_2023-02-21T16:48:57.010736Z_WS.POZA.S2.DN2.MSEED,34168371_2023-02-21T16:48:57.010736Z_WS.POZA.S2.DNZ.MSEED,-157.5099923,171.9967106,-0.018734332,-0.275996029,37.67904132,-24.30125285,24.75795478,37.67903666,,,,,250,12Z,,,"bucket0$34,:3,:25001"
34163931,2023-02-21T06:39:17.060000Z,0.19,43.3347,0.0072,13.3462,0.0185,21.9,1.4,1,0.2,ML,INGV,S3,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,10.2616247,2023-02-21T06:38:57.058077Z,2023-02-21T06:40:37.062077Z,3x25001,-387.5281544,313.5934494,-2.932079214,-2.912945551,59.70134677,-39.9719424,34.1460513,59.62930251,34163931_2023-02-21T06:38:57.058077Z_WS.POZA.S3.DN1.MSEED,-168.5043853,188.066074,-1.265622563,-1.236940504,34.96632972,-24.27356259,21.80015918,34.94341731,34163931_2023-02-21T06:38:57.058077Z_WS.POZA.S3.DN2.MSEED,34163931_2023-02-21T06:38:57.058077Z_WS.POZA.S3.DNZ.MSEED,-149.572183,180.9584972,-1.245177903,-1.340016409,34.20399058,-24.37186248,21.69182966,34.18131805,,,,,250,12Z,,,"bucket0$55,:3,:25001"
34168371,2023-02-21T16:49:17.010000Z,0.13,43.2928,0.0063,13.3492,0.0111,8.7,0.7,1,0.2,ML,INGV,S3,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,6.086984581,2023-02-21T16:48:57.011567Z,2023-02-21T16:50:37.015567Z,3x25001,-376.2424245,393.9900008,3.968045223,4.366664493,60.6049088,-33.69433993,41.42661654,60.47486741,34168371_2023-02-21T16:48:57.011567Z_WS.POZA.S3.DN1.MSEED,-150.5041135,138.959062,-0.922820374,-1.265163285,34.91017976,-24.30226297,22.77298877,34.89798065,34168371_2023-02-21T16:48:57.011567Z_WS.POZA.S3.DN2.MSEED,34168371_2023-02-21T16:48:57.011567Z_WS.POZA.S3.DNZ.MSEED,-147.0582087,148.4127137,-0.395222925,-0.82814685,34.39981055,-22.85129893,22.21898246,34.39754009,,,,,250,12Z,,,"bucket0$57,:3,:25001"
34166831,2023-02-21T12:48:54.240000Z,0.1,43.2767,0.0045,13.3703,0.0074,6.1,0.6,1,0.2,ML,INGV,S3,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,3.632206219,2023-02-21T12:48:34.238879Z,2023-02-21T12:50:14.242879Z,3x25001,-361.7143636,377.4682447,-5.013801773,-5.143904224,57.81117808,-40.19984114,30.91404026,57.5933512,34166831_2023-02-21T12:48:34.238879Z_WS.POZA.S3.DN1.MSEED,-190.7971488,145.7412783,0.295400711,0.508925638,34.46698133,-22.52817405,23.54554772,34.46571544,34166831_2023-02-21T12:48:34.238879Z_WS.POZA.S3.DN2.MSEED,34166831_2023-02-21T12:48:34.238879Z_WS.POZA.S3.DNZ.MSEED,-156.3853296,161.1240282,0.338572823,0.86394994,33.45552302,-21.17448538,22.90238526,33.45380978,,,,,250,12Z,,,"bucket0$62,:3,:25001"
34161791,2023-02-21T00:40:43.070000Z,0.18,43.2822,0.0153,13.3168,0.0136,9,1.5,1,0.4,ML,INGV,S3,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,7.329968016,2023-02-21T00:40:23.070024Z,2023-02-21T00:42:03.074024Z,3x25001,-223.6809986,275.1162683,2.940832331,2.681012743,47.82864022,-29.37081186,34.73188215,47.73814335,34161791_2023-02-21T00:40:23.070024Z_WS.POZA.S3.DN1.MSEED,-133.1528268,125.2610092,-0.559560181,0.060688682,32.0642746,-21.97488103,21.09425083,32.05939173,34161791_2023-02-21T00:40:23.070024Z_WS.POZA.S3.DN2.MSEED,34161791_2023-02-21T00:40:23.070024Z_WS.POZA.S3.DNZ.MSEED,-179.5556059,157.9747991,-1.047791889,-1.2765851,31.89357107,-22.30632644,19.75315624,31.87635499,2023-02-21T00:40:44.543000Z,0.5,,,250,12Z,3,,"bucket0$63,:3,:25001"
34163931,2023-02-21T06:39:17.060000Z,0.19,43.3347,0.0072,13.3462,0.0185,21.9,1.4,1,0.2,ML,INGV,S4,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,10.2616247,2023-02-21T06:38:57.059276Z,2023-02-21T06:40:37.063276Z,3x25001,-510.0221637,532.6464723,-3.874858767,-4.213709386,69.97396629,-45.27787091,36.85236254,69.86659737,34163931_2023-02-21T06:38:57.059276Z_WS.POZA.S4.DN1.MSEED,-140.6307565,124.7933117,2.535609864,2.598058668,32.40724709,-19.43655585,24.63267318,32.30789914,34163931_2023-02-21T06:38:57.059276Z_WS.POZA.S4.DN2.MSEED,34163931_2023-02-21T06:38:57.059276Z_WS.POZA.S4.DNZ.MSEED,-173.0077648,176.550552,1.399189399,1.25176336,34.0112459,-20.75610548,24.29889267,33.98245307,,,,,250,12Z,,,"bucket0$83,:3,:25001"
34166831,2023-02-21T12:48:54.240000Z,0.1,43.2767,0.0045,13.3703,0.0074,6.1,0.6,1,0.2,ML,INGV,S4,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,3.632206219,2023-02-21T12:48:34.240879Z,2023-02-21T12:50:14.244879Z,3x25001,-799.0204173,908.7118781,-3.624917173,-3.747354811,74.75302146,-42.811322,35.31470197,74.66508014,34166831_2023-02-21T12:48:34.240879Z_WS.POZA.S4.DN1.MSEED,-247.2690586,187.4264695,0.435496935,0.126514919,33.25092325,-21.9080996,22.16303984,33.24807121,34166831_2023-02-21T12:48:34.240879Z_WS.POZA.S4.DN2.MSEED,34166831_2023-02-21T12:48:34.240879Z_WS.POZA.S4.DNZ.MSEED,-142.174585,168.3197645,0.447652338,0.05126735,33.75065866,-21.98716797,23.09839666,33.74768981,,,,,250,12Z,,,"bucket0$86,:3,:25001"
