Before Mean,Before Median,Before Mode,Before Std Dev,Before Skewness,Before Kurtosis,Before Variance,Before Max,Before Min,Before Z-Score,Before Mean MER,Before Max MER,After Mean,After Median,After Mode,After Std Dev,After Skewness,After Kurtosis,After Variance,After Max,After Min,After Z-Score,After Mean MER,After Max MER,earthquake
-7.8e-05,-0.000101815,-0.000101815,0.00117988,-0.244339769,0.482301828,1.39e-06,0.002699976,-0.004131146,-1.78e-17,7.61e-05,0.000128061,-0.00053118,0.003198957,-0.055218147,0.072563795,-0.139383961,-0.412399753,0.005265504,0.161101892,-0.196654704,0.0,0.252359133,0.691208103,1
4.76e-06,8.55e-05,-0.000202362,0.001093061,-0.171831455,-0.274712871,1.19e-06,0.002638083,-0.00327297,-3.55e-18,7.61e-05,0.000128061,-0.00646934,-0.015075162,-0.136457596,0.157598431,0.143617334,1.214805288,0.024837266,0.546660473,-0.503732316,-1.78e-17,0.252359133,0.691208103,1
2.7e-05,0.000126717,0.000356296,0.001160018,-0.000134723,-0.291552908,1.35e-06,0.003542279,-0.002828516,3.55e-17,7.61e-05,0.000128061,-0.001584202,-0.007223884,-0.154244695,0.084623319,0.207136831,1.092603216,0.007161106,0.275438978,-0.281556923,-2.84e-17,0.252359133,0.691208103,1
9.02e-05,8.94e-05,-0.000965377,0.001219489,0.192442356,-0.082456594,1.49e-06,0.004215359,-0.00269307,0.0,7.61e-05,0.000128061,-0.001046402,0.003371425,0.021372814,0.147128954,-0.043583514,0.893109912,0.021646929,0.414055746,-0.453448155,-1.78e-17,0.252359133,0.691208103,1
0.000135012,0.000174048,0.000328076,0.001286303,-0.212323903,0.284381043,1.65e-06,0.00378229,-0.004738457,-5.33e-18,7.58e-05,0.000109151,-0.002587356,-0.007521507,-0.077356612,0.069576766,0.251920419,-0.160728417,0.004840926,0.184637186,-0.19096677,-1.07e-17,0.253614535,0.691208103,1
2.35e-05,6.65e-05,-0.000585968,0.001233138,-0.120228302,-0.240470894,1.52e-06,0.003290506,-0.003503134,-2.13e-17,0.002890179,0.118747638,-0.000103638,-2.96e-05,-0.000624622,0.001586882,-0.20141517,0.163347292,2.52e-06,0.00436519,-0.00473126,4.26e-17,0.252243849,0.500191349,1
7.7e-05,8.31e-06,-0.000279837,0.001147726,0.204895877,-0.053492705,1.32e-06,0.003213031,-0.002658782,8.88e-18,7.77e-05,0.000118538,3.66e-06,2.7e-05,-0.000471933,0.001343216,-0.217330755,0.204361907,1.8e-06,0.004134858,-0.004155725,-2.84e-17,0.363033882,0.903123801,1
0.000126949,8.55e-05,-0.00012564,0.001246198,0.091525262,0.26909454,1.55e-06,0.003674113,-0.003465066,1.07e-17,7.77e-05,0.000118538,0.000147377,2.78e-05,-0.001507209,0.002137896,0.095589858,0.459057031,4.57e-06,0.006053644,-0.006880627,-7.11e-18,0.363033882,0.903123801,1
7.1e-06,1.08e-05,-0.000871245,0.001109566,0.039926017,-0.290363577,1.23e-06,0.002889855,-0.003097919,-2.84e-17,7.77e-05,0.000118538,4.24e-05,3.01e-05,-0.000142685,0.001555391,-0.014731737,0.491684852,2.42e-06,0.00477099,-0.004977883,-1.42e-17,0.360475174,0.903123801,1
0.00011215,5.13e-05,-0.000811935,0.00134826,-0.148638127,-0.373225788,1.82e-06,0.003525453,-0.003883129,-2.13e-17,7.77e-05,0.000118538,0.000100779,0.000242836,0.000454259,0.002144218,-0.067476758,0.874204403,4.6e-06,0.007401342,-0.006415517,7.11e-18,0.363033882,0.903123801,1
